ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
00769460,No work,Staying with my family. ,,More time to spend with my family.
00babb90,,,,no communte
00db60f1,Working from home,Working from home,Home improvements done and less commuting,Home working
01297d76,"More time with family, learning French, appreciating b  ET img able to go on walks once my self isolation was over",,Less social pressure. Less traffic on the roads. More time with family.,I don't have to rush about as much as I am working from home. I am less tired. The air is cleaner and there is less traffic. I have saved money as the things I normally do have been closed.
01559bfb,More exercise,,,"I have worked from home the entire time, which saved two hours of commute every day and also allowed me to structure my day differently. I've been able to exercise more often, lost weight, and was just as effective at work."
01808e74,,,,Had time to think about my direction in life.
0180ea1d,more meditation and informal learning,due to disability I cant get out everyday but have something to do on zoom every day,time to explore spirituality,been able to save money
01a97318,,,,
01c706a7,,I spend a lot of time with my parents,,I spend more time with my parents
0206c601,"More time with children, less time working",,,Increased savings
027eaa15,I've become more aware of the importance of reaching out to people,I've grown closer to people I drifted away from over the years,,
029e60cf,"More opportunities to try for a baby, being closer with family, movie nights","More sex, finish diy",,"More time with the family, time for DIY and gardening"
02ce3583,"more relaxation, more walking, more reading","more time to relax and indulge in reading, TV, gardening etc",,"MORE RELAXATION TIME, MORE WALKING IN THE OPEN AIR"
02f2e2f3,work from home,"work from home, boomer doomer",working from home,work from home
0307f96f,Being stronger as a family,More exercise,,
033ab2b0,More connecting with family and friends via phone calls,calling family and friends more,,
03439516,,,,
03564410,,,,
03a9cf9a,spending more time with family at home,Community pulling together,,
03b74c83,,,,"stimulus payments, quitting drinking and exercise daily now"
03c42dd6,More time tl spend with family,Exercising more and eating more healthily. Sleeping better at night,I returned to study part time and also spend more time outdoors with my husband. My husband has lost weight too,More time with family. Cleared some debt and done work around the home.
03d6be1a,Catching up on a backlog of tasks at home,,"More walks, and catching up on backlogs of chores and paperwork.","More and regular country walks, less distraction from things I want to do at home, decluttering, catching up on paperwork backlog, consciously improving relationshipsn"
03d9fe26,,,,
040ca055,,,,
0483c23c,"Increased time with family, reevaluate priorities",More time with immediate family and working out at home,More time together as a family,more time at home with family
052e6709,No commuting,,,
0576642f,Working from home has greatly lowered work related stress,Working from home means i am less burnt out from work. I rest more and i exercise more,More rest during lockdown,More rest - working from home
059c63d7,,,,
05ac6d57,More time with children,More time with my children,More time with my children ,More time with my children
05b27157,I am spending more time with my partner and talking to friends and family over phone call.,"spending more time with immediate family, eating homemade healthy food, sleeping well and many more",got to spend quality time at home,I feel more productive working from home
05b7650a,"Spending more time with family, less time driving and more time exercising","Eating more healthily, less food waste, more exercise ",Quality time with children and more time at my allotment,Focusing on the important aspects of life; increased time with children; more leisure time
05d4d6c0,getting out to exercise with the children,,,
06b51bd6,I am enjoying not being at work (I am fortunatly being paid still),I am enjoying working from home and having more time for things i want to do,Nice to have time off work during the first lockdown. I liked the peacefulness of it.,"I have enjoyed not being in work so much, and having much less work. I have enjoyed the city being emptier and less cars."
06b5f325,,,,Enrolled into masters
06c3c1ed,helping others,community spirit and helping people I previously didn't know,opportunity to help in the community,
06d753d5,"more time spent with family, no aircraft pollution","personal relationships, more organised",,
06ea2067,,,,
06ea665b,,,,
0738d555,,,,
07842027,,less pollution and traffic,,
07c18654,Walking every day .cooking and eating I healthier,"Self isolation, shopping once every 14 days exercising 1hr per day",,More exercise
07dac8b9,,Reduced shopping opportunities so more making from what we have,Financial no holidays,Financial-no vacations
0868179b,,Getting closer to my husband,,
093482f6,,"Spending more time with family, saving money, feel less stressed",More walking and seeing friends,"working from home, saving money, spending more time with my family"
093a7c48,"More family time,getting more work done",More time with family ,Opened my eyes to this huge scam,Meet new like minded people 
095d6c48,,,,
0974c46d,,,,I can get food and necessities delivered to my home as long as I can pay for it and don't have to go out.
09bb381d,,More time for me.,Self-knowledge related,Selflearning and resilience
09c5edc3,Doing more exercise,Learnt a new language,,New girlfriend
0a0f9b59,"Working from Home has reduced travel time and it's less stressful, and I can concentrate more","Working from Home, avoiding long hours in transportation. More time with my husband",Working from home is something that should be the norm,Working from home is better for my mental health. And less expensive
0a4d3770,,,New friendships,More time with the children 
0a51425b,,Dinner at home,"having my family together, and not travelling for work",Having my daughter home from college and making more meals together with my family
0a82a29f,"Saving money, earning extra money with extra available time, working out and losing weight","Saving money, earning more money, working out more","More workouts, weight loss","weight loss, more workouts, healthy eating, saved a lot of money"
0b437e1f,,Got a pet,Literary programs are available online now,Moved to a better living situation.
0b6ab69c,running more and reading a lot,"More active, working on myself, more healthy",Made me open my eyes,New job where im really happy at
0b70263c,,,"I was already socially isolated due to chronic illness, now that is the norm so I was already adapted and am not missing out on so many social events","Increased acceptance of socializing via video,  increased opportunity to work from home, healthier meals, more home cooking, slower paced life, delivery/takeout more available from most everywhere (these were all difficulties for me pre-pandemic due to disability)"
0bc954cd,Working from home and confined at home,Spending less money,Saving money as no longer commuting,
0c476cf7,,,,
0cccf65d,Quite and less pollution,More time to complete DIY tasks.,Able to tackle some DIY at home,
0cd23e27,,less waste!,,
0cec7738,,Doing more yoga practice at home,,
0cf6d4d9,I'm eating healthier and exercising more,I'm working out a lot more improving my fitness.,,
0d4a1693,Havibg time to catch up on reading,More time to think and reclect,,
0d635a37,,more conscience of being more sanitary,,"Being more resourceful in finding alternative solutions to shopping, exercise "
0d90a3c4,,,,
0db5d7ae,,,,
0dcc9438,,,,
0df8a425,,,More time with family,
0e66785e,financial uncertainty,Gratitude for life,Time to stocktake and reprioritise,"Improved relationships, better life balance"
0e8ee643,"Sanitizing more, meditating often and eating better.",More meditation and exercise,"Health, diet, working out","Better workout routine, diet, closer bonds to family members "
0ee3cf79,,,got out of debt,
0f0b6317,more hygenic,,,
0f111ef3,,,Better work interactions,
0f15e0b6,,,,
0f1a455c,"Connecting virtually with loved ones, more time at home to enjoy garden",More time with family and to exercise,"Less commute, better work-life balance, more exercise","Less time spent commuting, more time exercising."
0f34108d,,,,Relationship 
0f647f85,,,,
0fd5b77a,More time with family,Spending more time with the whole family,,I have been luckily able to spend more time with the family.
0fefd757,Greater telephone contact with family and friends,,,
1075c575,,,Increased income,
1119cb1a,motivated to learn new things and cope without company,,,dont spend so much money.
112d9cb0,more family time,,,
11361af8,"With my child at home, I've found myself being more active",Spending more time with my child,I have been focusing on a healthier diet because of the extra time at home,It has motivated me to reevalute my physical and mental health and I have taken direct steps to improve both.
114578a1,Exercise and weight loss,More exercise and healthier diet,Weight loss,Weight loss
1175894c,More walking,Eating more vegetables,,
121ecde4,"Spending more time together as a family doing fun thing like baking,playing games and doing some home schooling ",Being at home homeschooling,,Out more walking 
12230669,,More family time,,spend more family time together now
123ca171,,,Now i dont need to go shopping like i always did before,
12ae38b3,,Growing vegetables,An interest in gardening and growing my own food,Growing my own vegetables.
12f1d120,,,,"Better communication and sense of support between myself, my mother, and my sister"
1350da71,more time at home,,More sleep,More me time
13662ae2,,,,
13a0d4d9,Walking more,"LESS TRAFFIC, MORE ORGANISED SHOPPING",,
13a7cb2f,,,,
13bb76b6,,,,
13bc1866,,,,
13d15902,,,,
13d77cae,,,,
148f41f5,Neighbours are talking a lot more and checking if we all have everything we need (while maintaining distance),"Less traffic, air feels cleaner.",I'm doing a lot more yoga,Closer to family
151dc4f1,,,full time employment,Full time employment for more than an year.
153c0a3c,More time to work at home because I'm not going anywhere at all,Able to train (running) more due to not commuting,"Incredibly, during the shutdown I had time to resume running, and am back up to 30 miles per week.  Also, people are now focused on their health, so I'm selling large amounts of vitamins.","in 2020, due to distance learning, I had more time, and was able to get back to running 33 miles/week"
1557d8f9,,,Fitness,Fitness
15dd865d,,Have loved in with parents,More time to spend with familiy,More time spent with family
1635b77c,,,,
165747c6,,,,
16942fae,"Empty roads, peace and quiet, no aeroplanes ","Peace and quiet, less road traffic, families doing things together.",,
16999d45,,Cutting down on expenses ,I spend less money now,I spend less money eating out.
16e1b932,,"Less pollution, seeing more wildlife",enjoying time at home,Been able to slow down and appreciate things I took for granted
16f0fd3d,More hand washing and awarenss of virus spread and how to avoid it,,,
170e73ea,,"thinking, quiet, reading , meditation",,
1736fe63,,,,
175f7afd,,,,
176486a2,much slower pace of life,calmer,Less tired,"Acceptance of doing less, and being introverted"
176636cc,,,,
176c5c5b,,,"My husband has been gone during my maternity leave, so we have equal time with the baby","Saved some money, husband was home as well during maternity leave"
176e04e7,,,,I wouldn't have started at the career I'm at now (pharmacy technician) if not for COVID
1805b6ac,,,,
1807dbc5,There is more sense of community with people trying to help each other.,There seems to be a greater sense of community and a 'we're all in this together spirit',"Spent more time with my family, enjoyed more hobbies, I have spent less money",Financially better off
18730214,,,,
1890334e,,,,
1902d49f,,,,
195d6fcb,More frequent communication with my mother. Upcoming Stimulus payment,increasded communication with family members,Temporary housing became more available.,Improved income due to pandemic unemployment assistance and stimuluses. Possibilities for improved housing assistance.
196d1e37,Time for self-reflection and re-connectedness with the nature,"reconnectedness with the nature, appreciation of life, more time for self-reflection, and avoiding overcrowded buses or trains when I had to commute to work","Appreciation of, and connectedness to nature",Appreciation of nature
19c40738,,"Exercising more, performing more personal tasks",More time to study course materials to learn something new,
1a098492,,,,
1a0b9af7,,,,I am able to work from home which I find better than working from the office
1a0d014a,Started diet,,"spending less, doing more activities like crafts, reading more","Cooking at home, cleaning, washing hands more, saving more"
1a541e3b,Working out at home and catching up with friends through video chat,More home workouts,family time,working from home
1a725420,More time with my husband and time to spend with God,Spending more time with my husband,More time to think and process.,Deeper relationships
1a7e3ece,,,MORE EXERCISE,
1b0f4ae4,,,,
1ba01db0,"Taking things slower, time to pursue hobbies",slowed down,,Slowed down
1bbe4324,,,,
1bcac18d,"Time at home to catch up, speaking to friends I havent spoken to for a long time.  My partner lives in Manchester but was here when lockdown started so is still here","Getting lots done at home, my partner who lives in Manchester being here with me",,
1bd369ff,I get to spend more time with my family,,Spend time with family,more time with family
1be6ff84,,,,
1bf2802e,,,,
1cae16ed,Community spirit,Community spirit and better relationships with neighbours,Got fitter by working at at home and cooking more meals,Community spirit and relationship with my son
1d3f0c91,"Reading more, learning Spanish, playing guitar",Being able to save money,,
1d5f2287,,More exercise etc,,
1da9ec41,More conscious of health and looking after myself with healthier diet and exercise,More community spirit with neighbours & walking more for my daily exercise,Increased exercise,"More time with my husband, increased exercise, more community spirit on our street"
1db8a9df,,,,
1dc217e8,spending more time with family at home,spending more time with family at home. Not having to travel to work,Work life balance is better now that I work from home more. Less tarvelling time and at home when my daughter comes home from high school. We spend a lot more time as a family together too,I am able to work form home now providing a better work life balance
1deee505,More exercise,"More exercise, more community awareness",More exercise,I have exercised more
1e321ed5,Time with family,More family time,more time with family,
1e3689e3,Starting later in my job,Less pollution,,Quieter roads
1e6704f6,,,,
1ef0a072,Less traffic ,Less traffic!,Community spirit,Different view of life. Closer community.
1f12b27e,"Husband working from home, cooking more",,,
1f4edae5,Time to relax at home is a rare thing,More time at home,Working from home is better for my mental health and given me more time to focus on hobbies exercising and being healthier overall,"Working from home so improved work life balance, happier, less anxious, less crowded trains"
1f923242,Working from home,"Working from home, more rested",Better work life balance due to less commuting,Shorter commute time
1f9f5f13,Family time,spending time with family,Working from home,Quality time with child
1fc38b53,,,,
1ffc3964,More physical excercise,Taking more physical excersise and talking more and spending more time with my spouse.,Spent quality time with my wife while on furlough which seemed to bring us closer psychologically,
2048f258,,Need to be careful not to be near anyone. Only shop 1 time a week. cannot go out.,Have to take extra care working and must be shielded at all times,a  different way of working and shopping
2074a18c,,,,
2075eb1f,Spending far less money on entertainment and petrol.,"I've drank less alcohol, spent more time with family.","Financially better off, due to lockdown.",I have got fitter and lost weight during the pandemic.
208bff0a,time for family at home,ale to focus on family not work during bereavement due to cancer,had more time with my spouse,Time to care for my bereaved parent
20cbee08,making more money,making more money,,
20d0e09d,My road has a WhatsApp group chat so everyone is more friendly towards each other,I won't take people and events for granted,,More of a work-life balance
20d46473,,,,
215c3cd2,,,,
216852a2,,,Not having to commute to work,I don't have a long commute anymore.
