ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
003f374a,,,,More family time
00662b3f,,,,
00b76a23,"He enjoys having his father working at home. Also, the stimulus check will be additional income to the family.",,"More time with father who is now working at home, stimulus money helped us buy a house",Stimulus bill and father working from home.
00f4a445,Full time at home with me,More family time at home before she starts school,More time spent as a close family,"More family time, ease into first year in school"
0145f511,I spend more time with them because I work in the basement of my house now. My wife spends more time with them because they aren't going to school.,He gets to spend more time with me,He's able to spend more time with his mom and brother,My son and I started to play dice masters which has been a fun none screens activity.
01c7d30e,,,"Family bonding. More open, as teens aren't always open with their parents.",More time with family; less hectic life due to sports being postponed.
01c90d0c,We've been enjoying dancing to music videos together as a family and spending time together as a family in general.,,She's learning patience and perseverance through hard times.,We are closer as a family
0236290c,,,,
02434bb1,Time off to re-evaluate unhealthy school friendships,Break from problems with school friends,Less sickness colds etc,They now enjoy the small things and time with family
02653bd5,,,,
029bb673,More family time,More family time and focus of attention,More family time,
02db28c6,More time with her father.,Extra time at home.,,
037faaf0,no school; can go to the park etc,,,
0392b69b,Spending more time together,,,
03a39ed2,,,,
03f914c6,She enjoys seeing pics of rainbows and understanding she can help by doing that and sending to neighbours,"More time together,",,School has become less strict and more focused on mental health
041bb1a4,shes happy she doesnt have to go to school and gets to stay home with mom and dad.,spend more time with each other,,My child isnt a fan of school and has always stated that she wants to stay home with mom and dad. Covid has granted her wish.
048cc53e,Spending time with parents,Able to spend more time with parents,Parent working from home,
04d232c4,,He misses his friends but has told us he likes spending more time with his mother and me.,"The public school he attended last year went to online only this year so we enrolled him in a private school that meets in person (online school did not work well for him). The private school has some additional opportunities, including learning the violin, Spanish, and Russian.","We enrolled him in private school since public school wasn't open and online learning wasn't for him. The private school had some programs that are different than his public school had (e.g., violin, Russian langauge)."
05cdcc1f,More family time,"More time with parents, free time",More family time,More time with family (immediate)
064c4c1c,Less pressure ,More time with family,less busy,Parents about a bit more - especially dad
06a000fe,more mindful of others,"Even more quality time together, life skills",more time with parent,STRENGHTENED OUR BOND
06be423a,,,,Working from home for a while was AWESOME
06c087cd,,,Spending more time at home with family,They have enjoyed spending more time with family
071e3602,"We spend much more time together with him and my other son, as a family, at home.",My son spends more time together with my husband and I and his grandparents.,"My husband and I have gotten to spend much more quality time with my son and our other child.  We've been more invested in their studies, helping them learn, and having many more family nights together.",Spending more quality time at home with family
072aebda,,Spending more time with Daddy,Spending more time together,
08714aaa,"Stronger relationships with teachers, spending more time with family at home",More time at home,Spending more time with family,"More time at home, didn't get sick at all last year, better time management,"
08fbb8d0,Spending quality time with us (parents) at home,"More time with us her parents, teaching at home (although this may not be an advantage)",,
090b53f8,,,,
092ceba7,,Children started to wash hands regularly,,Spending more time with me at home
0936b07b,She has spent more time at home and has a chance to take a break from athletics and the hustle and bustle of school to chill and hang with family,Spending more time playing like a kid and less time doing organized sports and being on a schedule ,,
09918053,,,"More time relaxing, less pressure","Less busy, more happy"
09f670f8,washes hands more often thank goodness,We get to spend more time together,,
0a10fc9c,More out door time,More time with parents,,more time at home with family
0a314050,More time with parents,"She has been reading a huge amount, and is now confident with full books",,Time with family has increased
0a39a15b,,,,
0a56204e,"More time at home with parents, home learning, more rested",Working from home means parents are around more than before,,
0a5c1332,,,,
0ac26fc8,More time with parents,More time with parents learning new skills,,
0b3c537e,Being more aware of other people,,,
0b952d71,More quality family time,Spending more time with family,More time with parents,that he doesnt have to attend school everyday (his words)
0bdcbb2e,Spending more time with both parents,Incresed time with both parents,,More time with family due to furlough
0c12e561,,More time with parents,,More time with parents
0c21174d,I am working from home full time now and spending more time with her and her sister.,more time spent with her parents,I am working from home full time and am around them more often. ,more time at home with her parents
0cba8ecc,more activities away from the iPad,He's enjoyed being with mum+dad,,"more time outdoors, cycling, running, playing with friends"
0d485b82,,,,
0d5e13ed,,,,Spent more time with family
0d8671ca,,,,
0dd488b9,Better air quality,"Clean air, clear skies, quieter",as parents we have spent more quality time with our child,we have bonded closer as a family and I have taught life skills
0e30ad18,,More intentional family time,,Been able to spend more time with family at home
0e41aba4,,more time at home and free time to spend together as i work a lot usually so spends a lot of time with other family members,i as a parent has had more time at home with my child,Being on furlough from work jas allowed me to jave more time at home with my child
0e9abe0d,He's able to stay home and play video games more often because school is closed.,He spends more time with his family.,He has been able to spend more time with his brothers.,We have grown more resilient as a family.
0ebe318c,,,,
0ef674cf,More play,,,
0f5c3566,we exercise more and she gets more outside time in the garden,,,
0fd47487,Spending quality time together,Spending time together,"More time with family,but has struggled to adjust to restarting school after the summer",More quality time together
1014317f,"more outside activities, more time with parents","Exercise more, eating better",,
1041a23e,,,,
1079b9a3,,,,
10997173,,,,My son became diligent in helping me with housework
118cfdba,More knowledge about diseases in general; more time at home with family,More time with immediate family; more time outside,"More time with family, being outdoors more during the spring","Being able to be home last year was a treat for her, as was spending more time with her grandparents."
11b5d2ae,,Spending more time with family.,They get to spend more time with family.,"They have learned how to use various online communication apps, and have spent more time with family."
124aa938,,,,
12a596ea,No school,Routine,,
12de344b,,,,
13247fd2,"Learning new skills, spending quality time with family",,Qualitytime ,More time spent with family
13414b96,being able to spend time at home with me and my mother (her grandmother),spending more time at home with family,more time with family,more time with me and my mother
13c60c88,,"Spending more time as a family, he loves that he doesn't have to go to school",Using his bike more for long rides,
13d646c3,,spends more time with mum,,
13eb0239,Community spirit greater.clap for our NHS started,"Family meals, more quality time together",More family time,More family time
143c41f6,,,,
14af287b,,,Bonded closer within our immediate  family,I have gotten closer to my twin boys.
14f368e0,Eating better at home and eating less junk food,She has been practicing and refining her baking skills,,
1506424b,,Resting more.,,
1513dda8,,Spending more time with family,,
1548cbd0,,,,
159476e8,,"Eating with parents at dinner & being more experimental with food, writing ability through daily practise, reading skills improved","Time with both parents, learning at home ",Family time
