ID,cms_flag,cw_flag
003f374a,fluctuating,decreasing
00662b3f,NA,NA
00b76a23,NA,NA
00f4a445,improving,decreasing
0145f511,NA,NA
01c7d30e,NA,NA
01c90d0c,fluctuating,consistent
0236290c,improving,fluctuating
02434bb1,fluctuating,fluctuating
02653bd5,fluctuating,decreasing
029bb673,NA,NA
02db28c6,improving,consistent
037faaf0,fluctuating,decreasing
0392b69b,improving,fluctuating
03a39ed2,NA,NA
03f914c6,improving,decreasing
041bb1a4,NA,NA
048cc53e,depriving,fluctuating
04d232c4,NA,NA
05cdcc1f,improving,fluctuating
064c4c1c,fluctuating,decreasing
06a000fe,NA,NA
06be423a,improving,decreasing
06c087cd,fluctuating,fluctuating
071e3602,fluctuating,decreasing
072aebda,NA,NA
08714aaa,NA,NA
08fbb8d0,consistent,consistent
090b53f8,NA,NA
092ceba7,NA,NA
0936b07b,fluctuating,increasing
09918053,NA,NA
09f670f8,fluctuating,decreasing
0a10fc9c,improving,decreasing
0a314050,NA,NA
0a39a15b,NA,NA
0a56204e,fluctuating,decreasing
0a5c1332,NA,NA
0ac26fc8,improving,decreasing
0b3c537e,fluctuating,fluctuating
0b952d71,NA,NA
0bdcbb2e,fluctuating,increasing
0c12e561,fluctuating,decreasing
0c21174d,fluctuating,fluctuating
0cba8ecc,improving,fluctuating
0d485b82,NA,NA
0d5e13ed,depriving,consistent
0d8671ca,NA,NA
0dd488b9,improving,decreasing
0e30ad18,NA,NA
0e41aba4,improving,decreasing
0e9abe0d,NA,NA
0ebe318c,NA,NA
0ef674cf,improving,consistent
0f5c3566,NA,NA
0fd47487,NA,NA
1014317f,fluctuating,consistent
1041a23e,NA,NA
1079b9a3,NA,NA
10997173,consistent,increasing
118cfdba,improving,fluctuating
11b5d2ae,fluctuating,decreasing
124aa938,NA,NA
12a596ea,improving,increasing
12de344b,fluctuating,fluctuating
13247fd2,NA,NA
13414b96,NA,NA
13c60c88,improving,increasing
13d646c3,NA,NA
13eb0239,fluctuating,fluctuating
143c41f6,NA,NA
14af287b,fluctuating,fluctuating
