ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021,Corpus,clean_text,char_len,word_len,containsJunkWord,dup_idx,similar_idx,dup_similar_idx,FINAL_CLUSTER_ID,Seed_Q1,Seed_Q2,Dist_to_Center,Cohesion,FREQ,COVERAGE
00769460,No work,Staying with my family. ,,More time to spend with my family.,No work. Staying with my family. .  More time to spend with my family.,work stay family time spend family,70,14,0,['00769460'],"['00769460', '0fd5b77a', '12230669', '1bd369ff', '31046764', '39cf2916', '61011b9a', '6244b533', '65424974', '65b49e68', '72bc0590', 'b61bcee3', 'd747f918', 'd78fde5d']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
00babb90,,,,no communte,no communte,communte,11,2,0,['00babb90'],['00babb90'],"('00babb90',)",1,not commute work do not long commute anymore,commute,0.62,0.719,11,1.2629161882893227
00db60f1,Working from home,Working from home,Home improvements done and less commuting,Home working,Working from home. Working from home. Home improvements done and less commuting. Home working,work home work home home improvement do less commuting home work,93,14,0,['00db60f1'],"['00db60f1', '43b56906', 'c99a0d11']","('00db60f1', '43b56906', 'c99a0d11')",2,work home confine home spending less money save money long commute,work home work home home improvement do less commuting home work,0.179,0.73,28,3.214695752009185
01297d76,"More time with family, learning French, appreciating b  ET img able to go on walks once my self isolation was over",,Less social pressure. Less traffic on the roads. More time with family.,I don't have to rush about as much as I am working from home. I am less tired. The air is cleaner and there is less traffic. I have saved money as the things I normally do have been closed.,"More time with family, learning French, appreciating b  ET img able to go on walks once my self isolation was over.  Less social pressure. Less traffic on the roads. More time with family.. I don't have to rush about as much as I am working from home. I am less tired. The air is cleaner and there is less traffic. I have saved money as the things I normally do have been closed.",time family learn french appreciate b et img able go walk self isolation less social pressure less traffic road time family .. do not rush much work home less tired air cleaner less traffic save money thing normally do close,379,73,0,['01297d76'],['01297d76'],"('01297d76',)",3,time family slow enjoy smallthinng time family less plane less traffic long maternity leave lest noise air pollution less crime,slow way life time spend daughter .. able work home meaning spend time daughter save petrol money time home daughter less time commute .. time daughter slow pace life temporarily,0.301,0.769,11,1.2629161882893227
01559bfb,More exercise,,,"I have worked from home the entire time, which saved two hours of commute every day and also allowed me to structure my day differently. I've been able to exercise more often, lost weight, and was just as effective at work.","More exercise.   I have worked from home the entire time, which saved two hours of commute every day and also allowed me to structure my day differently. I've been able to exercise more often, lost weight, and was just as effective at work.",exercise work home entire time which save two hour commute every day also allow structure day differently able exercise often lose weight effective work,240,43,0,['01559bfb'],"['01559bfb', '4fef780f', 'ac9269d2', 'd3ca19bf']","('01559bfb', '4fef780f', 'ac9269d2', 'd3ca19bf')",4,exercise save money work home,exercise work home entire time which save two hour commute every day also allow structure day differently able exercise often lose weight effective work,0.155,0.772,13,1.492537313432836
01808e74,,,,Had time to think about my direction in life.,Had time to think about my direction in life.,time think direction life,45,9,0,['01808e74'],['01808e74'],"('01808e74',)",5,time,time reflect relax,0.286,0.645,14,1.6073478760045925
0180ea1d,more meditation and informal learning,due to disability I cant get out everyday but have something to do on zoom every day,time to explore spirituality,been able to save money,more meditation and informal learning. due to disability I cant get out everyday but have something to do on zoom every day. time to explore spirituality. been able to save money,meditation informal learning due disability ca nt get everyday something do zoom every day time explore spirituality able save money,178,31,0,['0180ea1d'],['0180ea1d'],"('0180ea1d',)",6,sanitize meditate often eat well .. meditation exercise health diet work well workout routine diet close bond family member,close relationship friend family close relationship family member due quarantine close relationship friend due increase communication social medium .. focus mental physical wellness start podcast improve skincare lose weight improve relationship improve grade improve focus self care improve focus goal,0.323,0.706,17,1.9517795637198623
01c706a7,,I spend a lot of time with my parents,,I spend more time with my parents,I spend a lot of time with my parents.  I spend more time with my parents,spend lot time parent spend time parent,73,16,0,['01c706a7'],"['01c706a7', '1bd369ff', '61e9823c', '687d5890', '7b787546', '84027b54', 'ac03a50f']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
0206c601,"More time with children, less time working",,,Increased savings,"More time with children, less time working.   Increased savings",time child less time work increase saving,63,9,0,['0206c601'],['0206c601'],"('0206c601',)",7,financially well increase work load .. time spend child spend time child,time child less time work increase saving,0.183,0.709,11,1.2629161882893227
027eaa15,I've become more aware of the importance of reaching out to people,I've grown closer to people I drifted away from over the years,,,I've become more aware of the importance of reaching out to people. I've grown closer to people I drifted away from over the years.,become aware importance reach people grow close people drift away year,131,24,0,['027eaa15'],['027eaa15'],"('027eaa15',)",8,less time social medium appreciation little thing life self care appreciation little thing people seem friendly say hi distance when one hour exercise grateful little thing,feel share goal community appreciation what introvert easy without see everyone else social activity time,0.28,0.679,11,1.2629161882893227
