,ID,Corpus,clean_text,Topic,Probability
0,769460,No work. Staying with my family. .  More time to spend with my family.,work stay family time spend family,1,1
1,00babb90,no communte,communte,6,0.587137303
2,00db60f1,Working from home. Working from home. Home improvements done and less commuting. Home working,work home work home home improvement do less commuting home work,11,0.758484767
3,01297d76,"More time with family, learning French, appreciating b  ET img able to go on walks once my self isolation was over.  Less social pressure. Less traffic on the roads. More time with family.. I don't have to rush about as much as I am working from home. I am less tired. The air is cleaner and there is less traffic. I have saved money as the things I normally do have been closed.",time family learn french appreciate b et img able go walk self isolation less social pressure less traffic road time family .. do not rush much work home less tired air cleaner less traffic save money thing normally do close,-1,0
4,01559bfb,"More exercise.   I have worked from home the entire time, which saved two hours of commute every day and also allowed me to structure my day differently. I've been able to exercise more often, lost weight, and was just as effective at work.",exercise work home entire time which save two hour commute every day also allow structure day differently able exercise often lose weight effective work,0,0.912723479
5,1.81E+77,Had time to think about my direction in life.,time think direction life,-1,0
6,0180ea1d,more meditation and informal learning. due to disability I cant get out everyday but have something to do on zoom every day. time to explore spirituality. been able to save money,meditation informal learning due disability ca nt get everyday something do zoom every day time explore spirituality able save money,-1,0
7,01c706a7,I spend a lot of time with my parents.  I spend more time with my parents,spend lot time parent spend time parent,4,0.892950805
8,0206c601,"More time with children, less time working.   Increased savings",time child less time work increase saving,4,0.894845835
9,027eaa15,I've become more aware of the importance of reaching out to people. I've grown closer to people I drifted away from over the years.,become aware importance reach people grow close people drift away year,9,0.821009248
10,029e60cf,"More opportunities to try for a baby, being closer with family, movie nights. More sex, finish diy.  More time with the family, time for DIY and gardening",opportunity try baby close family movie nights sex finish diy time family time diy gardening,-1,0
11,02ce3583,"more relaxation, more walking, more reading. more time to relax and indulge in reading, TV, gardening etc.  MORE RELAXATION TIME, MORE WALKING IN THE OPEN AIR",relaxation walk read time relax indulge read tv garden etc relaxation time walk open air,-1,0
12,02f2e2f3,"work from home. work from home, boomer doomer. working from home. work from home",work home work home boomer doomer work home work home,7,0.837847804
13,0307f96f,Being stronger as a family. More exercise.,strong family exercise,0,1
14,033ab2b0,More connecting with family and friends via phone calls. calling family and friends more.,connect family friend via phone call call family friend,6,1
15,03a9cf9a,spending more time with family at home. Community pulling together.,spend time family home community pull together,9,0.776433279
16,03b74c83,"stimulus payments, quitting drinking and exercise daily now",stimulus payment quit drinking exercise daily,10,1
17,03c42dd6,More time tl spend with family. Exercising more and eating more healthily. Sleeping better at night. I returned to study part time and also spend more time outdoors with my husband. My husband has lost weight too. More time with family. Cleared some debt and done work around the home.,time tl spend family exercise eat healthily sleep well night return study part time also spend time outdoors husband husband lose weight time family clear debt do work around home,0,0.938593929
18,03d6be1a,"Catching up on a backlog of tasks at home.  More walks, and catching up on backlogs of chores and paperwork.. More and regular country walks, less distraction from things I want to do at home, decluttering, catching up on paperwork backlog, consciously improving relationshipsn",catch backlog task home walks catch backlogs chore paperwork .. regular country walk less distraction thing do home decluttere catch paperwork backlog consciously improve relationshipsn,8,0.763056085
19,0483c23c,"Increased time with family, reevaluate priorities. More time with immediate family and working out at home. More time together as a family. more time at home with family",increase time family reevaluate priority time immediate family work home time together family time home family,-1,0
20,052e6709,No commuting.,commute,11,0.912524372
