,Topic,Count,Useful Terms
0,-1,176,"['parent', 'work', 'school', 'home', 'spend', 'play', 'child', 'dad', 'increase', 'spending']"
1,1,149,"['parent', 'sibling', 'together', 'bonding', 'father', 'dad', 'grandparent', 'mother', 'relationship', 'caring']"
2,3,57,"['together', 'quality', 'spend', 'spending', 'life', 'relaxed', 'parent', 'member', 'eat', 'skill']"
3,5,38,"['exercise', 'eat', 'walk', 'diet', 'bike', 'healthy', 'healthily', 'weight', 'regularly', 'food']"
4,10,37,"['school', 'home', 'learning', 'homeschool', 'homeschoole', 'homeschooling', 'public', 'flexibility', 'house', 'improve']"
5,9,34,"['school', 'social', 'anxiety', 'anxious', 'relax', 'autistic', 'medical', 'stress', 'calm', 'health']"
6,4,32,"['outdoors', 'play', 'outside', 'outdoor', 'garden', 'activity', 'cycle', 'wildlife', 'scooter', 'sun']"
7,7,29,"['spend', 'spending', 'talk', 'leisure', 'technology', 'app', 'communication', 'bike', 'parent', 'activity']"
8,8,29,"['father', 'school', 'dad', 'travel', 'stimulus', 'relationship', 'social', 'become', 'due', 'public']"
9,0,18,"['hand', 'washing', 'wash', 'wear', 'hygiene', 'public', 'start', 'become', 'handwash', 'initiative']"
10,6,17,"['spending', 'home', 'work', 'scratch', 'spend', 'resilience', 'nature', 'socialise', 'content', 'household']"
11,11,16,"['her', 'sleep', 'she', 'fromschool', 'school', 'learn', 'become', 'morning', 'schoolwork', 'home']"
12,2,15,"['sibling', 'sister', 'connect', 'relationship', 'quality', 'video', 'together', 'parent', 'connection', 'daughter']"
